"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0~9세","2020년06월_남_10~19세","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_남_80~89세","2020년06월_남_90~99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0~9세","2020년06월_여_10~19세","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년06월_여_80~89세","2020년06월_여_90~99세","2020년06월_여_100세 이상"
"경기도 용인시 수지구 성복동(4146559000)","49,860","49,860","4,996","5,945","5,318","5,799","9,623","7,132","5,349","4,167","1,313","209","9","23,954","23,954","2,535","2,910","2,692","2,534","4,511","3,607","2,388","2,069","648","59","1","25,906","25,906","2,461","3,035","2,626","3,265","5,112","3,525","2,961","2,098","665","150","8"
"경기도 파주시 (4148000000)","456,073","456,073","44,481","48,297","55,677","66,501","79,254","70,777","46,974","28,368","13,578","1,975","191","231,522","231,522","22,703","24,934","29,332","35,420","40,720","37,078","23,321","12,476","4,982","497","59","224,551","224,551","21,778","23,363","26,345","31,081","38,534","33,699","23,653","15,892","8,596","1,478","132"
"경기도 파주시 문산읍(4148025000)","48,554","48,554","5,165","4,739","5,768","7,899","7,482","6,911","5,053","3,499","1,760","251","27","24,763","24,763","2,581","2,469","3,099","4,401","3,979","3,559","2,435","1,501","646","80","13","23,791","23,791","2,584","2,270","2,669","3,498","3,503","3,352","2,618","1,998","1,114","171","14"
"경기도 파주시 파주읍(4148025300)","13,144","13,144","567","781","1,470","1,349","1,716","2,539","2,245","1,468","838","130","41","6,996","6,996","303","414","885","787","1,017","1,441","1,166","636","301","35","11","6,148","6,148","264","367","585","562","699","1,098","1,079","832","537","95","30"
"경기도 파주시 법원읍(4148025600)","10,923","10,923","363","783","1,338","905","1,306","2,240","1,950","1,284","647","94","13","5,801","5,801","190","440","803","517","747","1,233","1,028","590","222","27","4","5,122","5,122","173","343","535","388","559","1,007","922","694","425","67","9"
"경기도 파주시 조리읍(4148026200)","30,243","30,243","1,860","2,810","3,842","3,110","4,549","5,956","4,299","2,466","1,171","167","13","15,373","15,373","937","1,398","2,109","1,711","2,322","3,111","2,197","1,098","441","44","5","14,870","14,870","923","1,412","1,733","1,399","2,227","2,845","2,102","1,368","730","123","8"
"경기도 파주시 월롱면(4148031000)","9,250","9,250","196","291","2,198","2,242","938","1,329","1,120","548","340","45","3","5,881","5,881","92","165","1,305","1,836","663","806","616","279","111","8","0","3,369","3,369","104","126","893","406","275","523","504","269","229","37","3"
"경기도 파주시 탄현면(4148032000)","13,464","13,464","728","1,022","1,495","1,521","2,189","2,586","1,971","1,174","659","110","9","7,311","7,311","390","530","847","913","1,240","1,504","1,048","558","256","24","1","6,153","6,153","338","492","648","608","949","1,082","923","616","403","86","8"
"경기도 파주시 광탄면(4148035000)","11,549","11,549","515","676","1,289","1,069","1,376","2,368","2,170","1,253","683","136","14","6,276","6,276","264","366","785","650","803","1,322","1,205","628","217","32","4","5,273","5,273","251","310","504","419","573","1,046","965","625","466","104","10"
"경기도 파주시 파평면(4148036000)","3,942","3,942","103","202","425","269","370","778","775","592","360","58","10","2,053","2,053","59","105","276","148","218","430","389","274","138","10","6","1,889","1,889","44","97","149","121","152","348","386","318","222","48","4"
