,EMD_CD,Address
471,26110105,부산광역시 중구 중앙동2가
472,26110106,부산광역시 중구 중앙동3가
473,26110107,부산광역시 중구 중앙동4가
474,26110108,부산광역시 중구 중앙동5가
475,26110109,부산광역시 중구 중앙동6가
476,26110110,부산광역시 중구 중앙동7가
477,26110111,부산광역시 중구 동광동1가
478,26110112,부산광역시 중구 동광동2가
479,26110113,부산광역시 중구 동광동3가
480,26110114,부산광역시 중구 동광동4가
481,26110115,부산광역시 중구 동광동5가
482,26110116,부산광역시 중구 대청동1가
483,26110117,부산광역시 중구 대청동2가
484,26110118,부산광역시 중구 대청동3가
485,26110119,부산광역시 중구 대청동4가
486,26110120,부산광역시 중구 보수동1가
487,26110121,부산광역시 중구 보수동2가
488,26110122,부산광역시 중구 보수동3가
489,26110123,부산광역시 중구 부평동1가
490,26110124,부산광역시 중구 부평동2가
491,26110125,부산광역시 중구 부평동3가
492,26110126,부산광역시 중구 부평동4가
493,26110127,부산광역시 중구 신창동1가
494,26110128,부산광역시 중구 신창동2가
495,26110129,부산광역시 중구 신창동3가
496,26110130,부산광역시 중구 신창동4가
497,26110131,부산광역시 중구 창선동1가
498,26110132,부산광역시 중구 창선동2가
499,26110133,부산광역시 중구 광복동1가
500,26110134,부산광역시 중구 광복동2가
501,26110135,부산광역시 중구 광복동3가
502,26110136,부산광역시 중구 남포동1가
503,26110137,부산광역시 중구 남포동2가
504,26110138,부산광역시 중구 남포동3가
505,26110139,부산광역시 중구 남포동4가
506,26110140,부산광역시 중구 남포동5가
507,26110141,부산광역시 중구 남포동6가
508,26140101,부산광역시 서구 동대신동1가
509,26140102,부산광역시 서구 동대신동2가
510,26140103,부산광역시 서구 동대신동3가
511,26140104,부산광역시 서구 서대신동1가
512,26140105,부산광역시 서구 서대신동2가
513,26140106,부산광역시 서구 서대신동3가
514,26140107,부산광역시 서구 부용동1가
515,26140108,부산광역시 서구 부용동2가
516,26140109,부산광역시 서구 부민동1가
517,26140110,부산광역시 서구 부민동2가
518,26140111,부산광역시 서구 부민동3가
519,26140112,부산광역시 서구 토성동1가
520,26140113,부산광역시 서구 토성동2가
521,26140114,부산광역시 서구 토성동3가
522,26140115,부산광역시 서구 아미동1가
523,26140116,부산광역시 서구 아미동2가
524,26140117,부산광역시 서구 토성동4가
525,26140118,부산광역시 서구 토성동5가
526,26140119,부산광역시 서구 초장동
527,26140120,부산광역시 서구 충무동1가
528,26140121,부산광역시 서구 충무동2가
529,26140122,부산광역시 서구 충무동3가
530,26140123,부산광역시 서구 남부민동
531,26140124,부산광역시 서구 암남동
532,26170101,부산광역시 동구 초량동
533,26170102,부산광역시 동구 수정동
534,26170103,부산광역시 동구 좌천동
535,26170104,부산광역시 동구 범일동
536,26200101,부산광역시 영도구 대교동1가
537,26200102,부산광역시 영도구 대교동2가
538,26200103,부산광역시 영도구 대평동1가
539,26200104,부산광역시 영도구 대평동2가
540,26200105,부산광역시 영도구 남항동1가
541,26200106,부산광역시 영도구 남항동2가
542,26200107,부산광역시 영도구 남항동3가
543,26200108,부산광역시 영도구 영선동1가
544,26200109,부산광역시 영도구 영선동2가
545,26200110,부산광역시 영도구 영선동3가
546,26200111,부산광역시 영도구 영선동4가
547,26200112,부산광역시 영도구 신선동1가
548,26200113,부산광역시 영도구 신선동2가
549,26200114,부산광역시 영도구 신선동3가
550,26200115,부산광역시 영도구 봉래동1가
551,26200116,부산광역시 영도구 봉래동2가
552,26200117,부산광역시 영도구 봉래동3가
553,26200118,부산광역시 영도구 봉래동4가
554,26200119,부산광역시 영도구 봉래동5가
555,26200120,부산광역시 영도구 청학동
556,26200121,부산광역시 영도구 동삼동
557,26230101,부산광역시 부산진구 양정동
558,26230102,부산광역시 부산진구 전포동
559,26230103,부산광역시 부산진구 부전동
560,26230104,부산광역시 부산진구 범천동
561,26230105,부산광역시 부산진구 범전동
562,26230106,부산광역시 부산진구 연지동
563,26230107,부산광역시 부산진구 초읍동
564,26230108,부산광역시 부산진구 부암동
565,26230109,부산광역시 부산진구 당감동
566,26230110,부산광역시 부산진구 가야동
567,26230111,부산광역시 부산진구 개금동
568,26260101,부산광역시 동래구 명장동
569,26260102,부산광역시 동래구 안락동
570,26260103,부산광역시 동래구 칠산동
571,26260104,부산광역시 동래구 낙민동
572,26260105,부산광역시 동래구 복천동
573,26260106,부산광역시 동래구 수안동
574,26260107,부산광역시 동래구 명륜동
575,26260108,부산광역시 동래구 온천동
576,26260109,부산광역시 동래구 사직동
577,26290106,부산광역시 남구 대연동
578,26290107,부산광역시 남구 용호동
579,26290108,부산광역시 남구 용당동
580,26290109,부산광역시 남구 문현동
581,26290110,부산광역시 남구 우암동
582,26290111,부산광역시 남구 감만동
583,26320101,부산광역시 북구 금곡동
584,26320102,부산광역시 북구 화명동
585,26320103,부산광역시 북구 만덕동
586,26320104,부산광역시 북구 덕천동
587,26320105,부산광역시 북구 구포동
588,26350101,부산광역시 해운대구 반송동
589,26350102,부산광역시 해운대구 석대동
590,26350103,부산광역시 해운대구 반여동
591,26350104,부산광역시 해운대구 재송동
592,26350105,부산광역시 해운대구 우동
593,26350106,부산광역시 해운대구 중동
594,26350107,부산광역시 해운대구 좌동
595,26350108,부산광역시 해운대구 송정동
596,26380101,부산광역시 사하구 괴정동
597,26380102,부산광역시 사하구 당리동
598,26380103,부산광역시 사하구 하단동
599,26380104,부산광역시 사하구 신평동
600,26380105,부산광역시 사하구 장림동
601,26380106,부산광역시 사하구 다대동
602,26380107,부산광역시 사하구 구평동
603,26380108,부산광역시 사하구 감천동
604,26410101,부산광역시 금정구 두구동
605,26410102,부산광역시 금정구 노포동
606,26410103,부산광역시 금정구 청룡동
607,26410104,부산광역시 금정구 남산동
608,26410105,부산광역시 금정구 선동
609,26410106,부산광역시 금정구 오륜동
610,26410107,부산광역시 금정구 구서동
611,26410108,부산광역시 금정구 장전동
612,26410109,부산광역시 금정구 부곡동
613,26410110,부산광역시 금정구 서동
614,26410111,부산광역시 금정구 금사동
615,26410112,부산광역시 금정구 회동동
616,26410113,부산광역시 금정구 금성동
617,26440101,부산광역시 강서구 대저1동
618,26440102,부산광역시 강서구 대저2동
619,26440103,부산광역시 강서구 강동동
620,26440104,부산광역시 강서구 명지동
621,26440105,부산광역시 강서구 죽림동
622,26440106,부산광역시 강서구 식만동
623,26440107,부산광역시 강서구 죽동동
624,26440108,부산광역시 강서구 봉림동
625,26440109,부산광역시 강서구 송정동
626,26440110,부산광역시 강서구 화전동
627,26440111,부산광역시 강서구 녹산동
628,26440112,부산광역시 강서구 생곡동
629,26440113,부산광역시 강서구 구랑동
630,26440114,부산광역시 강서구 지사동
631,26440115,부산광역시 강서구 미음동
632,26440116,부산광역시 강서구 범방동
633,26440117,부산광역시 강서구 신호동
634,26440118,부산광역시 강서구 동선동
635,26440119,부산광역시 강서구 성북동
636,26440120,부산광역시 강서구 눌차동
637,26440121,부산광역시 강서구 천성동
638,26440122,부산광역시 강서구 대항동
639,26470101,부산광역시 연제구 거제동
640,26470102,부산광역시 연제구 연산동
641,26500101,부산광역시 수영구 망미동
642,26500102,부산광역시 수영구 수영동
643,26500103,부산광역시 수영구 민락동
644,26500104,부산광역시 수영구 광안동
645,26500105,부산광역시 수영구 남천동
646,26530101,부산광역시 사상구 삼락동
647,26530102,부산광역시 사상구 모라동
648,26530103,부산광역시 사상구 덕포동
649,26530104,부산광역시 사상구 괘법동
650,26530105,부산광역시 사상구 감전동
651,26530106,부산광역시 사상구 주례동
652,26530107,부산광역시 사상구 학장동
653,26530108,부산광역시 사상구 엄궁동
654,26710250,부산광역시 기장군 기장읍
655,26710253,부산광역시 기장군 장안읍
656,26710256,부산광역시 기장군 정관읍
657,26710310,부산광역시 기장군 일광면
658,26710330,부산광역시 기장군 철마면
659,27110101,대구광역시 중구 동인동1가
660,27110102,대구광역시 중구 동인동2가
661,27110103,대구광역시 중구 동인동3가
662,27110104,대구광역시 중구 동인동4가
663,27110105,대구광역시 중구 삼덕동1가
664,27110106,대구광역시 중구 삼덕동2가
665,27110107,대구광역시 중구 삼덕동3가
666,27110108,대구광역시 중구 봉산동
667,27110109,대구광역시 중구 장관동
668,27110110,대구광역시 중구 상서동
669,27110111,대구광역시 중구 수동
670,27110112,대구광역시 중구 덕산동
